name,description,color,lat,lon,img,link,bastina
"Imunološki zavod","Javna zdravstvena ustanova s vlastitom proizvodnjom imunoloških pripravaka.",blue,45.82906869928887,15.981405410119184,https://tehnika.lzmk.hr/wp-content/uploads/2021/10/HTE2_2430.jpg,https://tehnika.lzmk.hr/imunoloski-zavod-zagreb/,Ustanove
"Institut za jadranske kulture i melioraciju krša","Znanstvenoistraživačka ustanova koja se bavi istraživačkim projektima te stjecanjem i prenošenjem znanja na području biotehničkih znanosti.",blue,43.5046265446402,16.49918078172216,https://tehnika.lzmk.hr/wp-content/uploads/2021/09/HTE2_2269.jpg,https://tehnika.lzmk.hr/institut-za-jadranske-kulture-i-melioraciju-krsa/,Ustanove
"Institut za poljoprivredu i turizam","Znanstvenoistraživačka ustanova koja se, zbog ostvarivanja gospodarskog, ekološkog i sociološkog održivog razvoja ruralnog prostora, bavi stjecanjem i prenošenjem znanja na području poljoprivrede i turizma.",blue,45.22138901767147,13.602617822298882,https://tehnika.lzmk.hr/wp-content/uploads/2022/04/HTE2_3037.jpg,https://tehnika.lzmk.hr/institut-za-poljoprivredu-i-turizam-porec/,Ustanove
"Istarski ugljenokopi Raša","Rudarsko poduzeće koje je nakon II. svj. rata obuhvaćalo niz rudnika u zajedničku proizvodno tehnološku cjelinu.",blue,45.07995523624343,14.087052781033774,https://tehnika.lzmk.hr/wp-content/uploads/2020/07/IE_0930.jpg,https://tehnika.lzmk.hr/istarski-ugljenokopi-rasa/,Poduzeća
"Jamnica plus d. o. o.","Poduzeće za proizvodnju i prodaju mineralne vode, osnovano 1828. u Zagrebu.",blue,45.80452427465609,16.031632896033727,https://tehnika.lzmk.hr/wp-content/uploads/2022/01/HTE2_2785.jpg,https://tehnika.lzmk.hr/jamnica/,Poduzeća
"Karlovačka pivovara","Poduzeće za proizvodnju piva i bezalkoholnih pića osnovano 1854. u Karlovcu.",blue,45.498240230365774,15.529586283616998,https://tehnika.lzmk.hr/wp-content/uploads/2019/11/HTE2_0299.jpg,https://tehnika.lzmk.hr/karlovacka-pivovara-d-d/,Poduzeća
"Kemijsko-tehnološki fakultet u Splitu","Visokoškolska i znanstvenoistraživačka ustanova Sveučilišta u Splitu.",blue,43.51203810814663,16.468716778517482,https://tehnika.lzmk.hr/wp-content/uploads/2021/11/HTE2_2554.jpg,https://tehnika.lzmk.hr/kemijsko-tehnoloski-fakultet-u-splitu/,Ustanove
"Klesarska škola Pučišća","Klesarska srednja škola na Braču osnovana 1909.",blue,43.34883852083723,16.733641527564412,https://tehnika.lzmk.hr/wp-content/uploads/2021/10/HTE2_2539.jpg,https://tehnika.lzmk.hr/klesarska-skola-pucisce/,Ustanove
"Kraš d. d.","Poduzeće za proizvodnju konditorskih proizvoda; jedan od vodećih konditorskih proizvođača u jugoistočnoj Europi.",blue,45.820573785431414,16.03084223975173,https://tehnika.lzmk.hr/wp-content/uploads/2021/10/HTE2_2454.jpg,https://tehnika.lzmk.hr/kras-d-d/,Poduzeća
"Kulturno-povijesni muzej u Dubrovniku","Jedan od četiriju specijaliziranih muzeja (sastavnica) ustanove Dubrovački muzeji, koja je osnovana 1872. kao Domorodni muzej.",blue,42.64037279716487,18.110746434134196,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1316.jpg,https://tehnika.lzmk.hr/kulturno-povijesni-muzej-u-dubrovniku/,Muzeji
"Kutjevo d. d.","Poduzeće za proizvodnju i promet poljoprivrednih i prehrambenih proizvoda, osnovano u Kutjevu, s tradicijom iz 1232.",blue,45.4223855089108,17.88053284386474,https://tehnika.lzmk.hr/wp-content/uploads/2021/11/HTE2_2581.jpg,https://tehnika.lzmk.hr/kutjevo-kutjevo/,Poduzeća
"Ledo plus d. o. o.","Tvornica za proizvodnju i promet sladoleda i smrznute hrane.",blue,45.80433907734598,16.0377838342922,https://tehnika.lzmk.hr/wp-content/uploads/2022/01/HTE2_2759.jpg,https://tehnika.lzmk.hr/ledo/,Poduzeća
"Luka Ploče d. d.","Lučko poduzeće osnovano 1945. sa sjedištem u Pločama.",blue,43.04923888989817,17.432224345190726,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1509.jpg,https://tehnika.lzmk.hr/luka-ploce/,Poduzeća
"Luka Rijeka d. d.","Najveće hrvatsko lučko poduzeće, osnovano 1947. kao državno, odn. društveno poduzeće; od 2001. posluje kao dioničko društvo.",blue,45.32715527498513,14.437254703791705,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1377.jpg,https://tehnika.lzmk.hr/luka-rijeka-d-d/,Poduzeća
"Luka Split","Lučki kompleks koji čine pomorsko-putnička luka uz gradsko središte Splita (od 1999. u sklopu poduzeća Trajektna luka Split d. d.) te teretna luka u Vranjičkoj i Solinskoj uvali, tj. Kaštelanskom zaljevu (od 2004. u sklopu poduzeća Luka Split d. d.).",blue,43.50297321221736,16.441724567620113,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1453.jpg,https://tehnika.lzmk.hr/luka-split/,Poduzeća
"Maraska d. d.","Poduzeće za proizvodnju i promet alkoholnih i bezalkoholnih pića, osnovano 1768. u Zadru.",blue,44.102474814867925,15.26078147031028,https://tehnika.lzmk.hr/wp-content/uploads/2021/11/HTE2_2610.jpg,https://tehnika.lzmk.hr/maraska/,Poduzeća
"Mardešić d. o. o.","Tvornica za preradu ribe, osnovana 1905. u Salima na Dugom otoku.",blue,43.93484215239557,15.167468529099265,https://tehnika.lzmk.hr/wp-content/uploads/2019/12/HTE2_0378.jpg,https://tehnika.lzmk.hr/mardesic-sali/,Poduzeća
"Memorijalni centar Faust Vrančić","Javna ustanova u kulturi u Prvić Luci na otoku Prviću posvećena životu i djelu Fausta Vrančića te zaštiti i očuvanju otočne kulturne baštine i tradicije, koju je 2012. osnovao Grad Vodice.",blue,43.72412740284711,15.800420808185688,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1333.jpg,https://tehnika.lzmk.hr/memorijalni-centar-faust-vrancic/,Muzeji
"Memorijalni centar Domovinskog rata Vukovar","Javna ustanova posvećena Domovinskomu ratu i Vukovarskoj bitki, koju je 2014. osnovalo Ministarstvo branitelja RH.",blue,45.338306420366834,19.004089095812603,https://tehnika.lzmk.hr/wp-content/uploads/2018/05/HTE_0967.jpg,https://tehnika.lzmk.hr/memorijalni-muzej-domovinskog-rata-vukovar/,Muzeji
"Metalurški fakultet","Visokoškolska i znanstvenoistraživačka ustanova u sastavu Sveučilišta u Zagrebu osnovana 1979.",blue,45.47145655946138,16.371655368409584,https://tehnika.lzmk.hr/wp-content/uploads/2021/11/HTE2_2566.jpg,https://tehnika.lzmk.hr/metalurski-fakultet-u-sisku/,Ustanove
"Mirna d. d.","Tvornica za lov, preradbu i promet ribom i ribljim prerađevinama, osnovana 1877. u Rovinju.",blue,45.08549374781157,13.64076862377119,https://tehnika.lzmk.hr/wp-content/uploads/2019/07/HTE2_0121.jpg,https://tehnika.lzmk.hr/mirna-d-d/,Poduzeća
"Muzej hrvatskog vatrogastva","Specijalizirani tehnički muzej koji prikazuje tehnički razvoj opreme i napredovanje vatrogasne organizacije, osnovan 1994. u Varaždinu.",blue,46.31192448017361,16.33808490422564,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1355.jpg,https://tehnika.lzmk.hr/muzej-hrvatskog-vatrogastva-varazdin/,Muzeji
"Muzej karlovačkog vatrogastva 1871","Zbirka predmeta iz povijesti vatrogastva u XIX. i XX. st. na području Karlovca, otvorena za javnost 2009. u Karlovcu.",blue,45.49588056028246,15.558354457778028,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1363.jpg,https://tehnika.lzmk.hr/muzej-karlovackog-vatrogastva/,Muzeji
"Muzej policije","Specijaliziran muzej u Zagrebu koji se bavi prikupljanjem, čuvanjem, zaštitom i izlaganjem materijalne baštine hrvatskih redarstvenih snaga, osnovan 2001. pri Ministarstvu unutarnjih poslova (MUP) RH.",blue,45.8363238362529,16.027461525444117,https://tehnika.lzmk.hr/wp-content/uploads/2018/03/HTE_0880.jpg,https://tehnika.lzmk.hr/muzej-policije/,Muzeji
"Muzej prehrane Podravka","Specijalizirani tehnički muzej osnovan 1982. u Koprivnici.",blue,46.15402251866051,16.824113352894088,https://tehnika.lzmk.hr/wp-content/uploads/2022/01/HTE2_2710.jpg,https://tehnika.lzmk.hr/muzej-prehrane-podravka/,Muzeji
"Muzej seljačkih buna","Specijalizirani muzej koji prikuplja i prikazuje građu vezanu uz seljačke bune, život plemića i seljaka te predmete iz kulturne, povijesne i umjetničke baštine Hrvatskoga zagorja, osnovan 1973. u Gornjoj Stubici.",blue,45.98462623323019,16.0164682586571,https://tehnika.lzmk.hr/wp-content/uploads/2017/12/HTE_0120.jpg,https://tehnika.lzmk.hr/muzej-seljackih-buna-zbirka-oruzja-i-opreme/,Muzeji
"Dvor Trakošćan","Specijalizirani povijesni muzej smješten u dvorcu Trakošćan, osnovan 1953.",blue,46.25773648816021,15.945094062553785,https://tehnika.lzmk.hr/wp-content/uploads/2018/05/HTE_0952.jpg,https://tehnika.lzmk.hr/dvor-trakoscan-zbirka-oruzja/,Muzeji
"Muzej za umjetnost i obrt","Kulturno-povijesni i umjetnički muzej u Zagrebu.",blue,45.809315975804374,15.968593855091282,https://tehnika.lzmk.hr/wp-content/uploads/2021/06/HTE2_2058.jpg,https://tehnika.lzmk.hr/muzej-za-umjetnost-i-obrt/,Muzeji
"Petrokemija d. d.","Poduzeće za proizvodnju i promet čađa, glina i mineralnih gnojiva.",blue,45.47127346046217,16.79450826950426,https://tehnika.lzmk.hr/wp-content/uploads/2020/06/HTE2_0725.jpg,https://tehnika.lzmk.hr/petrokemija-d-d/,Poduzeća
"Pliva d. d.","Farmaceutsko poduzeće sa sjedištem u Zagrebu.",blue,45.8117547268995,15.936884807061407,https://tehnika.lzmk.hr/wp-content/uploads/2022/02/HTE2_2862.jpg,https://tehnika.lzmk.hr/pliva-d-d/,Poduzeća
"Podravka d. d.","Prehrambeno i farmaceutsko poduzeće.",blue,46.167049997710535,16.82347354221304,https://tehnika.lzmk.hr/wp-content/uploads/2019/07/HTE2_0093.jpg,https://tehnika.lzmk.hr/podravka-d-d/,Poduzeća
"Politehnika Pula","Visokoškolska ustanova osnovana 2000. pod nazivom Visoka tehnička škola u Puli – Politehnički studij, koja provodi studije iz politehnike, mehatronike i upravljanja procesima.",blue,44.871329035584374,13.842563585362495,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1261.jpg,https://tehnika.lzmk.hr/politehnika-pula/,Ustanove
"Poljoprivredni institut Osijek","Javni znanstveni institut iz znanstvenog područja biotehničkih znanosti koji zahvaljujući vlastitom znanstveno-istraživačkom radu pronalazi inovativna rješenja čime pridonosi biljnoj znanosti i poljoprivrednoj proizvodnji.",blue,45.540645375931796,18.7359870513683,https://tehnika.lzmk.hr/wp-content/uploads/2021/05/HTE2_1973.jpg,https://tehnika.lzmk.hr/poljoprivredni-institut-osijek/,Ustanove
"Pomorski fakultet u Rijeci","Visokoškolska i znanstvena ustanova u sastavu Sveučilišta u Rijeci osnovana 1949. kao Viša pomorska škola.",blue,45.33033473877609,14.436155477180098,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1372.jpg,https://tehnika.lzmk.hr/pomorski-fakultet-u-rijeci/,Ustanove
"Pomorski fakultet u Splitu","Visokoškolska i znanstvena ustanova u sastavu Sveučilišta u Splitu osnovana 2003. koja obuhvaća sveučilišne preddiplomske i diplomske studijske programe u području pomorstva i pomorskoga prometa, omogućuje stjecanje doktorata znanosti u suradnji s Pomorskim fakultetom iz Rijeke, te razvija znanstveni i stručni rad.",blue,43.512429525095484,16.46879158740644,https://tehnika.lzmk.hr/wp-content/uploads/2018/11/HTE_1411.jpg,https://tehnika.lzmk.hr/pomorski-fakultet-u-splitu/,Ustanove
"Pomorski i povijesni muzej Hrvatskog primorja Rijeka","Muzej koji se bavi istraživanjem, prikupljanjem, čuvanjem i prezentacijom pomorske baštine Primorsko-goranske županije i grada Rijeke.",blue,45.32941889780606,14.442519105141923,https://tehnika.lzmk.hr/wp-content/uploads/2017/12/HTE_0064.jpg,https://tehnika.lzmk.hr/pomorski-i-povijesni-muzej-hrvatskog-primorja-rijeka/,Muzeji
